correct,incorrect
"Otarła je lewą, umęczoną ręką.","Otarł je lewą, umęczoną ręką."
Prawie wesoła - dokończyła przy pomocy krokodyla zdejmowania chusty.,Prawie wesoła - dokończył przy pomocy krokodyla zdejmowania chusty.
"Strzepnęła ją, złożyła, odniosła tamże, gdzie portrecik ojca.","Strzepnął ją, złożyła, odniosła tamże, gdzie portrecik ojca."
"Telefon zadzwonił, upudrowała się gorączkowo, przybrała oschły wyraz twarzy - może Marta? - i podeszła do aparatu.","Telefon zadzwonił, upudrował się gorączkowo, przybrała oschły wyraz twarzy - może Marta? - i podeszła do aparatu."
"Ledwie zdjęła słuchawkę, Sabina przycwałowała słoniowym truchtem przez korytarz.","Ledwie zdjęła słuchawkę, Sabina przycwałował słoniowym truchtem przez korytarz."
Uśmiechnęła się do córki ze swej błogiej dali.,Uśmiechnął się do córki ze swej błogiej dali.
"Róża - wzburzona pominięciem przez córkę swojej wizyty, zirytowana brakiem szacunku tutaj, w tym zięciowskim domu, dla empirowego stolika, zmęczona gniewem - usłyszała pieśń i pragnęła zapomnieć, jaki jest dzień, jaka sytuacja.","Róża - wzburzona pominięciem przez córkę swojej wizyty, zirytowana brakiem szacunku tutaj, w tym zięciowskim domu, dla empirowego stolika, zmęczona gniewem - usłyszał pieśń i pragnęła zapomnieć, jaki jest dzień, jaka sytuacja."
"Zerknęła w lustro, obciągnęła na sobie sweter w czerwone skrzydła...","Zerknął w lustro, obciągnęła na sobie sweter w czerwone skrzydła..."
"Marta rzuciła telefon; stając na progu, stanęła twarzą w twarz z matką.","Marta rzucił telefon; stając na progu, stanęła twarzą w twarz z matką."
"Opasała ramionami duże, ciepłe ciało, przytuliła głowę do łona, które ją wydało światu.","Opasał ramionami duże, ciepłe ciało, przytuliła głowę do łona, które ją wydało światu."
Róża opuściła ręce.,Róża opuścił ręce.
Siadła - nogi drżały.,Siadł - nogi drżały.
Rzuciła smyczek...,Rzucił smyczek...
Tylko na miejscu skrzypiec wystąpiła cisza - czarna jak zaskórna woda.,Tylko na miejscu skrzypiec wystąpił cisza - czarna jak zaskórna woda.
"Bo Hatora przez te lata straciła instynkt stadny i, skierowana przed dom, najkrótszym nawet pomrukiem nie pożegnała zimowej kompanii.","Bo Hatora przez te lata stracił instynkt stadny i, skierowana przed dom, najkrótszym nawet pomrukiem nie pożegnała zimowej kompanii."
"Bez zapału, ale i bez protestu pozwoliła sobie nałożyć naszyjnik.","Bez zapału, ale i bez protestu pozwolił sobie nałożyć naszyjnik."
