conllu_index,correct,incorrect
1377,"Nie wszystkie tomiki Broniewskiego sprzed roku 1939 dochowały się na moich półkach: Trzy salwy, Troska i pieśń, Krzyk ostateczny.","Nie wszystkie tomiki Broniewskiego sprzed roku 1939 dochował się na moich półkach: Trzy salwy, Troska i pieśń, Krzyk ostateczny."
2477,"Krążki VideoCD oprócz ścieżki audio/wideo mogą zawierać m.in. menu, spis rozdziałów (podobnie jak w filmach na DVD), napisy oraz dodatkowe ścieżki dźwiękowe (stereo lub mono).","Krążki VideoCD oprócz ścieżki audio/wideo może zawierać m.in. menu, spis rozdziałów (podobnie jak w filmach na DVD), napisy oraz dodatkowe ścieżki dźwiękowe (stereo lub mono)."
2671,"Towarzysze z Moskwy przeprowadzali w Polsce szkolenia dla działaczy SdRP o zasadach działania partii w sferze gospodarczej - ""pozwalających zabezpieczyć się przed próbami wywłaszczenia"".","Towarzysze z Moskwy przeprowadzał w Polsce szkolenia dla działaczy SdRP o zasadach działania partii w sferze gospodarczej - ""pozwalających zabezpieczyć się przed próbami wywłaszczenia""."
3034,1 lutego 1982 r. - pojawiły się talony na benzynę (w zależności od pojemności samochodu - od 24 l do 45 l miesięcznie).,1 lutego 1982 r. - pojawił się talony na benzynę (w zależności od pojemności samochodu - od 24 l do 45 l miesięcznie).
3054,"Popyt na usługi headhunterskie wyraźnie rośnie w okresach transformacji, a więc prywatyzacji i restrukturyzacji firm, gdy przekształcają się one w spółki giełdowe.","Popyt na usługi headhunterskie wyraźnie rosną w okresach transformacji, a więc prywatyzacji i restrukturyzacji firm, gdy przekształcają się one w spółki giełdowe."
3149,"Już wkrótce po przejeździe przez Berlin kawalkady trzystu trabantów pod hasłem ""DDR Power"" czekają nas kolejne obchody - tym razem w Pradze.","Już wkrótce po przejeździe przez Berlin kawalkady trzystu trabantów pod hasłem ""DDR Power"" czeka nas kolejne obchody - tym razem w Pradze."
3240,"- Niestety, większość z nich trafia tam jakby na własne życzenie.","- Niestety, większość z nich trafiają tam jakby na własne życzenie."
3614,"Ludzie o silnie rozwiniętym ego, którzy siebie uważają za istoty wyższe od innych, a ogół traktują jak błoto, mają naturalną tendencję do myślenia w kategoriach totalnych i posługiwania się doktryną totalną do swoich celów.","Ludzie o silnie rozwiniętym ego, którzy siebie uważają za istoty wyższe od innych, a ogół traktują jak błoto, ma naturalną tendencję do myślenia w kategoriach totalnych i posługiwania się doktryną totalną do swoich celów."
3729,Przybysze z najnowszej fali na ogół stronią od polonijnych organizacji społecznych.,Przybysze z najnowszej fali na ogół stroni od polonijnych organizacji społecznych.
4097,Dlatego w Masterlink pojawiają się kolejne etaty na odległość.,Dlatego w Masterlink pojawia się kolejne etaty na odległość.
4128,"40 rok życia - pojawiają się zmarszczki na czole, między brwiami i tzw. kurze łapki w kącikach oczu, a także bruzdy między nosem a górną wargą; 50 rok życia - obniża się koniuszek nosa, pojawiają się zmarszczki wokół ust i na szyi, zanika tkanka tłuszczowa w okolicy skroniowej i na policzkach;","40 rok życia - pojawia się zmarszczki na czole, między brwiami i tzw. kurze łapki w kącikach oczu, a także bruzdy między nosem a górną wargą; 50 rok życia - obniża się koniuszek nosa, pojawiają się zmarszczki wokół ust i na szyi, zanika tkanka tłuszczowa w okolicy skroniowej i na policzkach;"
4312,"""Gdy wróciła z Las Vegas, ludzie z branży udawali, że jej nie widzą.","""Gdy wróciła z Las Vegas, ludzie z branży udawał, że jej nie widzą."
4366,"Lekarze z laboratorium w Rostowie, gdzie robią badania DNA, powiedzieli, że to Awdotia.","Lekarze z laboratorium w Rostowie, gdzie robią badania DNA, powiedział, że to Awdotia."
4441,"Według szacunków gest miasta wobec mieszkańców zamknie się w granicach 1,5 do 3 mln zł.","Według szacunków gest miasta wobec mieszkańców zamkną się w granicach 1,5 do 3 mln zł."
4475,Większość z nas czuje się reklamami znudzona.,Większość z nas czują się reklamami znudzona.
4633,"Jednak większość z opisanych uszkodzeń wynika z niewiedzy, nieliczne są skutkiem bezmyślności.","Jednak większość z opisanych uszkodzeń wynikają z niewiedzy, nieliczne są skutkiem bezmyślności."
4722,"Zwycięstwo Frontu Ludowego w wyborach i powstanie rządu złożonego z socjalistów i radykałów, a popieranego przez komunistów, budzi entuzjastyczne nadzieje wśród robotników.","Zwycięstwo Frontu Ludowego w wyborach i powstanie rządu złożonego z socjalistów i radykałów, a popieranego przez komunistów, budzą entuzjastyczne nadzieje wśród robotników."
4893,"""Obrazy rażą nieudolnością techniczną, kolorystyczną i kompozycyjną... są to falsyfikaty pozbawione wartości muzealnej i materialnej"" - orzekli eksperci z Muzeum Narodowego, którzy badali wartość obrazów na zlecenie prokuratury.","""Obrazy rażą nieudolnością techniczną, kolorystyczną i kompozycyjną... są to falsyfikaty pozbawione wartości muzealnej i materialnej"" - orzekł eksperci z Muzeum Narodowego, którzy badali wartość obrazów na zlecenie prokuratury."
5256,Bez podobnie skontrastowanego tła żadna dyskusja na poważne tematy w Polsce obejść się dziś nie może.,Bez podobnie skontrastowanego tła żadna dyskusja na poważne tematy w Polsce obejść się dziś nie mogą.
5394,"Bo nie przemija miłość do słów wypowiadających prawdę stałą, wieczną.","Bo nie przemijają miłość do słów wypowiadających prawdę stałą, wieczną."
5610,"Wiersze o matce dostarczają okazji, żeby powiedzieć parę słów o religijności czy raczej areligijności Świrszczyńskiej.","Wiersze o matce dostarcza okazji, żeby powiedzieć parę słów o religijności czy raczej areligijności Świrszczyńskiej."
5723,"Przez uczony wywód autorki przewijają się dzieła współczesnych filozofów, od Ricoeura po Levinasa.","Przez uczony wywód autorki przewija się dzieła współczesnych filozofów, od Ricoeura po Levinasa."
5789,W naszej alfabetycznie ułożonej antologii znajdzie się jeszcze miejsce na wiele podobnych odkryć.,W naszej alfabetycznie ułożonej antologii znajdą się jeszcze miejsce na wiele podobnych odkryć.
5845,"W Niemczech skrzyknęli się złodzieje samochodów na czele z Nikodemem S., zwanym Nikosiem.","W Niemczech skrzyknął się złodzieje samochodów na czele z Nikodemem S., zwanym Nikosiem."
5964,"9. Kolorowe, krótkie skarpetki z puszystego frotté spodobają się ceniącym wygodę paniom.","9. Kolorowe, krótkie skarpetki z puszystego frotté spodoba się ceniącym wygodę paniom."
6358,"Sąsiedzi z zachodu, Keralczycy, uchodzą za najbardziej wykształcony naród indyjski.","Sąsiedzi z zachodu, Keralczycy, uchodzi za najbardziej wykształcony naród indyjski."
6506,"W duszpasterstwach odnajduje się młodzież z małych miejscowości, która z domu wyniosła szacunek dla wiary i proboszcza, a na studiach w wielkim mieście czuje się zagubiona.","W duszpasterstwach odnajdują się młodzież z małych miejscowości, która z domu wyniosła szacunek dla wiary i proboszcza, a na studiach w wielkim mieście czuje się zagubiona."
6512,"Część z nich pojawi się w dokumentach, które IPN zaczyna wydawać pokrzywdzonym, czyli tym, którzy na żadną współpracę nie poszli.","Część z nich pojawią się w dokumentach, które IPN zaczyna wydawać pokrzywdzonym, czyli tym, którzy na żadną współpracę nie poszli."
6859,"Kierujący polską piłką ludzie z PZPN (którzy, jak się okazuje, z tylnego siedzenia kierują również FIFA) nie pozostawiają złudzeń, że nikt z nimi nie wygra.","Kierujący polską piłką ludzie z PZPN (którzy, jak się okazuje, z tylnego siedzenia kierują również FIFA) nie pozostawia złudzeń, że nikt z nimi nie wygra."
7202,Telewidzowie w Dartlesville mogą zamówić sobie w telewizji przewodowej transmisję do dnia 30 najnowszych filmów.,Telewidzowie w Dartlesville może zamówić sobie w telewizji przewodowej transmisję do dnia 30 najnowszych filmów.
7213,"Wystarczy przecież niewielki ruch gałkami u milionów odbiorników, by nasze radosne posłannictwo rozwiało się w eterze.","wystarczą przecież niewielki ruch gałkami u milionów odbiorników, by nasze radosne posłannictwo rozwiało się w eterze."
7262,"Siłą rzeczy jednak wypadki ślubu bez księdza, w obecności dwóch świadków, choć stosunkowo rzadkie, musiały się zdarzać i rzeczywiście były.","Siłą rzeczy jednak wypadki ślubu bez księdza, w obecności dwóch świadków, choć stosunkowo rzadkie, musiał się zdarzać i rzeczywiście były."
