conllu_index,correct,incorrect
4,"Swoją drogę do tego miasta autor ""Krótkich dni"" zaczął z bardzo daleka.","Swoją drogę do tego miasta autor ""Krótkich dni"" zaczął z bardzo daleka."
25,"""Plama"" Piętaka, jedna spośród kilku najznakomitszych współczesnych powieści, także ze względu na jej zaklasyfikowanie wraz z całą twórczością tego pisarza do nurtu wiejskiego, nie ma w odbiorze powszechnym tej rangi, jaką rzeczywiście posiada.","""Plama"" Piętaka, jedna spośród kilku najznakomitszych współczesnych powieści, także ze względu na jej zaklasyfikowanie wraz z całą twórczością tego pisarza do nurtu wiejskiego, nie ma w odbiorze powszechnym tej rangi, jaką rzeczywiście posiada."
40,Prawie wesoła - dokończyła przy pomocy krokodyla zdejmowania chusty.,Prawie wesoła - dokończyła przy pomocy krokodyla zdejmowania chusty.
42,"Telefon zadzwonił, upudrowała się gorączkowo, przybrała oschły wyraz twarzy - może Marta? - i podeszła do aparatu.","Telefon zadzwonił, upudrowała się gorączkowo, przybrała oschły wyraz twarzy - może Marta? - i podeszła do aparatu."
54,W tych oczach odbijał się widok nietutejszy.,W tych oczach odbijał się widok nietutejszy.
58,W okresie szkolnym nie inaczej przedstawiała się sprawa koleżanek.,W okresie szkolnym nie inaczej przedstawiała się sprawa koleżanek.
61,"Stół uginał się pod tortami, owocami, kremami, z mebli zdejmowano pokrowce, srebra błyszczały, posadzki lśniły.","Stół uginał się pod tortami, owocami, kremami, z mebli zdejmowano pokrowce, srebra błyszczały, posadzki lśniły."
74,Więc pojawiły się jakieś inne sprawy?,Więc pojawiły się jakieś inne sprawy?
78,"W ciągu następnych lekcyj rozbujanie frazy dawało się powściągnąć, także styl i barwę uczuciową poddawała Róża; a jednak ostateczny rezultat pracy zawierał w sobie ten urzekający pierwiastek - nowość, którą do trudu kompozytora i Róży dodawała Marta z zasobów własnego organizmu.","W ciągu następnych lekcyj rozbujanie frazy dawało się powściągnąć, także styl i barwę uczuciową poddawała Róża; a jednak ostateczny rezultat pracy zawierał w sobie ten urzekający pierwiastek - nowość, którą do trudu kompozytora i Róży dodawała Marta z zasobów własnego organizmu."
83,Księżycowa orkiestra pod batutą Brahmsa grała dalej.,Księżycowa orkiestra pod batutą Brahmsa grała dalej.
84,Tylko na miejscu skrzypiec wystąpiła cisza - czarna jak zaskórna woda.,Tylko na miejscu skrzypiec wystąpiła cisza - czarna jak zaskórna woda.
86,Z wolna milkły także widmowe instrumenty.,Z wolna milkły także widmowe instrumenty.
93,"Rwała się pieśń w zdławieniu wrażenia potężnego, w łzach, co znają tylko miłujący i mężni, i kwitła pieśń nad mogiłą, jakby proporzec biało-amarantowy, a cichy bór słuchał i dawne czasy wspominał.","Rwała się pieśń w zdławieniu wrażenia potężnego, w łzach, co znają tylko miłujący i mężni, i kwitła pieśń nad mogiłą, jakby proporzec biało-amarantowy, a cichy bór słuchał i dawne czasy wspominał."
94,"Mogiła wyrosła, złocąc się z daleka, a obecni pożegnali ją ostatnią obrzędową pieśnią ""Anioł Pański"".","Mogiła wyrosła, złocąc się z daleka, a obecni pożegnali ją ostatnią obrzędową pieśnią ""Anioł Pański""."
99,Słońce gasło.,Słońce gasło.
100,"Żurawie nie grały, chłodne mgły wstawały z bagien, długie cienie kładły gąszcze.","Żurawie nie grały, chłodne mgły wstawały z bagien, długie cienie kładły gąszcze."
102,"Po chwili wyszła na słoneczne podwórze klacz srokata, stąpając z rozwagą i ostrożnością.","Po chwili wyszła na słoneczne podwórze klacz srokata, stąpając z rozwagą i ostrożnością."
105,"I nagle rozwarły się gąszcze, znikły, jakby zdmuchnięte wichrem, i na haliznę o dziesięć kroków przed nimi wynurzył się kształt potworny i fantastyczny.","I nagle rozwarły się gąszcze, znikły, jakby zdmuchnięte wichrem, i na haliznę o dziesięć kroków przed nimi wynurzył się kształt potworny i fantastyczny."
108,"Nogi tonęły w krzakach, a potworny łeb był jedną masą zieleni, oplątaną wokół kilkunastoramiennych rogów.","Nogi tonęły w krzakach, a potworny łeb był jedną masą zieleni, oplątaną wokół kilkunastoramiennych rogów."
114,"Mignęła mu jakaś głowa, wyrastająca nad chaszcze, i tyle.","Mignęła mu jakaś głowa, wyrastająca nad chaszcze, i tyle."
118,Chmary błotnego ptactwa rajcowały nad tą płytką wodą.,Chmary błotnego ptactwa rajcowały nad tą płytką wodą.
