conllu_index,correct,incorrect
70,A ja bardzo bardzo chciałabym mieć we brwi..,A ja bardzo bardzo chciałbym mieć we brwi..
70,A ja bardzo bardzo chciałabym mieć we brwi..,A ja bardzo bardzo chciałbym mieć we brwi..
74,A ja musiałam koce prac.,A ja musiałm koce prac.
74,A ja musiałam koce prac.,A ja musiałm koce prac.
78,– a ja oblałam matmę.,– a ja oblałm matmę.
78,– a ja oblałam matmę.,– a ja oblałm matmę.
84,– a ja się w życiu nie odchudzałam..,– a ja się w życiu nie odchudzałm..
84,– a ja się w życiu nie odchudzałam..,– a ja się w życiu nie odchudzałm..
478,Ale ona tylko skinęła na okrwawionego fenomulata.,Ale ona tylko skinął na okrwawionego fenomulata.
478,Ale ona tylko skinęła na okrwawionego fenomulata.,Ale ona tylko skinął na okrwawionego fenomulata.
512,Ale skąd się ona wzięła na kursie Ziemi?,Ale skąd się ona wziął na kursie Ziemi?
512,Ale skąd się ona wzięła na kursie Ziemi?,Ale skąd się ona wziął na kursie Ziemi?
558,– ale ty tak robiłaś?,– ale ty tak robiłś?
558,– ale ty tak robiłaś?,– ale ty tak robiłś?
812,Bo ja dawno tak nie czekałam na coś w tv.,Bo ja dawno tak nie czekałm na coś w tv.
812,Bo ja dawno tak nie czekałam na coś w tv.,Bo ja dawno tak nie czekałm na coś w tv.
869,– bo wtedy ty będziesz miała okazję już tego swojego pomijając..,– bo wtedy ty będziesz miał okazję już tego swojego pomijając..
869,– bo wtedy ty będziesz miała okazję już tego swojego pomijając..,– bo wtedy ty będziesz miał okazję już tego swojego pomijając..
891,"- Boże, jak ja się kiedyś bawiłam po balach!","- Boże, jak ja się kiedyś bawiłm po balach!"
891,"- Boże, jak ja się kiedyś bawiłam po balach!","- Boże, jak ja się kiedyś bawiłm po balach!"
1443,– co ja zrobiłam z tymi udkami?,– co ja zrobiłm z tymi udkami?
1443,– co ja zrobiłam z tymi udkami?,– co ja zrobiłm z tymi udkami?
1711,"Czy ja powiedziałam, że nie ufam Jezusowi?","Czy ja powiedziałm, że nie ufam Jezusowi?"
1711,"Czy ja powiedziałam, że nie ufam Jezusowi?","Czy ja powiedziałm, że nie ufam Jezusowi?"
3266,Ja bym chciała obejrzeć.,Ja bym chciał obejrzeć.
3266,Ja bym chciała obejrzeć.,Ja bym chciał obejrzeć.
3272,ja chciałam.,ja chciałm.
3272,ja chciałam.,ja chciałm.
3275,Ja chodziłam do bezpłatnej szkoły na Krakowskiej i byłam zadowolona.,Ja chodziłm do bezpłatnej szkoły na Krakowskiej i byłam zadowolona.
3275,Ja chodziłam do bezpłatnej szkoły na Krakowskiej i byłam zadowolona.,Ja chodziłm do bezpłatnej szkoły na Krakowskiej i byłam zadowolona.
3314,- Ja pana ojcu wręczałam kwiaty!,- Ja pana ojcu wręczałm kwiaty!
3314,- Ja pana ojcu wręczałam kwiaty!,- Ja pana ojcu wręczałm kwiaty!
3320,– ja robiłam tą amsterdamską.,– ja robiłm tą amsterdamską.
3320,– ja robiłam tą amsterdamską.,– ja robiłm tą amsterdamską.
3329,– ja sobie to wyobraziłam inaczej.,– ja sobie to wyobraziłm inaczej.
3329,– ja sobie to wyobraziłam inaczej.,– ja sobie to wyobraziłm inaczej.
3332,Ja szczepiłam tylko na odrę.,Ja szczepiłm tylko na odrę.
3332,Ja szczepiłam tylko na odrę.,Ja szczepiłm tylko na odrę.
3337,- Ja też grałam w tamtych sztukach.,- Ja też grałm w tamtych sztukach.
3337,- Ja też grałam w tamtych sztukach.,- Ja też grałm w tamtych sztukach.
3349,– Ja umarłam wcześniej niż moja obietnica.,– Ja umarłm wcześniej niż moja obietnica.
3349,– Ja umarłam wcześniej niż moja obietnica.,– Ja umarłm wcześniej niż moja obietnica.
3393,Jak ja za wami tęskniłam!,Jak ja za wami tęskniłm!
3393,Jak ja za wami tęskniłam!,Jak ja za wami tęskniłm!
3463,jak ty sobie to wyobrażałaś ?,jak ty sobie to wyobrażałś ?
3463,jak ty sobie to wyobrażałaś ?,jak ty sobie to wyobrażałś ?
6239,Nie pamiętała ona już domu swego zamożnym.,Nie pamiętał ona już domu swego zamożnym.
6239,Nie pamiętała ona już domu swego zamożnym.,Nie pamiętał ona już domu swego zamożnym.
6792,– no ja chodziłam..,– no ja chodziłm..
6792,– no ja chodziłam..,– no ja chodziłm..
6908,– o ja nie myślałam o takim..,– o ja nie myślałm o takim..
6908,– o ja nie myślałam o takim..,– o ja nie myślałm o takim..
7187,"Odziedziczyła ona po bracie majątek w Galicji, uprzemysłowiony i dający duże profity.","Odziedziczył ona po bracie majątek w Galicji, uprzemysłowiony i dający duże profity."
7187,"Odziedziczyła ona po bracie majątek w Galicji, uprzemysłowiony i dający duże profity.","Odziedziczył ona po bracie majątek w Galicji, uprzemysłowiony i dający duże profity."
